Journal title,ISSN,eISSN,Publisher details
"Conflict, Security & Development : CSD",1467-8802,Taylor & Francis Ltd.,United Kingdom
Conservation and Management of Archaeological Sites,1350-5033,Taylor & Francis Ltd.,United Kingdom
Constitutional Political Economy,1043-4062,Springer Nature B.V.,Netherlands
"Consumption, Markets & Culture",1025-3866,Taylor & Francis Ltd.,United Kingdom
Contemporary Accounting Research,0823-9150,Canadian Academic Accounting Association,Canada
Contemporary British History,1361-9462,Taylor & Francis Ltd.,United Kingdom
Contemporary British History,1361-9462,Taylor & Francis Ltd.,United Kingdom
Contemporary Economic Policy,1074-3529,Western Economic Association,United States
Contemporary Italian Politics,2324-8823,Taylor & Francis Ltd.,United Kingdom
Contemporary Japan,1869-2729,Taylor & Francis Ltd.,United Kingdom
Contemporary Justice Review,1028-2580,Taylor & Francis Ltd.,United Kingdom
Contemporary Pacific,1043-898X,University of Hawaii Press,United States
Contemporary Political Theory,1470-8914,Palgrave Macmillan,United Kingdom
Contemporary Review of the Middle East,2347-7989,Sage Publications Ltd.,United Kingdom
Contemporary Security Policy,1352-3260,Taylor & Francis Ltd.,United Kingdom
Contemporary Social Science,2158-2041,Taylor & Francis Ltd.,United Kingdom
Contemporary Social Sciences,2096-0212,Sichuan Academy of Social Sciences,China
Contemporary South Asia,0958-4935,Taylor & Francis Ltd.,United Kingdom
Contemporary Southeast Asia,0129-797X,ISEAS - Yusof Ishak Institute,Singapore
Contention,2572-7184,"Berghahn Books, Inc.",United States
Continuity and Change,0268-4160,Cambridge University Press,United Kingdom
Continuum,1030-4312,Taylor & Francis Ltd.,United Kingdom
Convergencia,1405-1435,Centro de Investigacion y Estudios Avanzados en Ciencias Politicas y Administracion Publica,Mexico
Corporate Governance : An International Review,0964-8410,Blackwell Publishing Ltd.,United Kingdom
Correspondencias y Análisis,2224-235X,Universidad de San Martin de Porres Revista Correspondencias & Análisis,Peru
Credit and Capital Markets,2199-1227,Duncker & Humblot Gmbh,Germany
Crime and Delinquency,0011-1287,"SAGE PUBLICATIONS, INC.",United States
"Crime, Law and Social Change",0925-4994,Springer Nature B.V.,Netherlands
"Crime, Media, Culture",1741-6590,Sage Publications Ltd.,United Kingdom
Criminal Justice Studies,1478-601X,Taylor & Francis Ltd.,United Kingdom
Criminologie,0316-0041,"Les Presses de l'Universite de Montreal, Etudes Francaises",Canada
Criminology,0011-1384,American Society of Criminology,United States
Criminology & Criminal Justice : CCJ,1748-8958,Sage Publications Ltd.,United Kingdom
Critical African Studies,2168-1392,Taylor & Francis Ltd.,United Kingdom
Critical Arts,0256-0046,Taylor & Francis Ltd.,United Kingdom
Critical Discourse Studies,1740-5904,Taylor & Francis Ltd.,United Kingdom
Critical Public Health,0958-1596,Taylor & Francis Ltd.,United Kingdom
Critical Review,0891-3811,Critical Review,United States
Critical Review of International Social and Political Philosophy,1369-8230,Taylor & Francis Ltd.,United Kingdom
Critical Sociology,0896-9205,Sage Publications Ltd.,United Kingdom
Critical Studies in Media Communication,1529-5036,Taylor & Francis Ltd.,United Kingdom
Critical Studies on Security,2162-4887,Taylor & Francis Ltd.,United Kingdom
Critical Studies on Terrorism,1753-9153,Taylor & Francis Ltd.,United Kingdom
Critical Times,2641-0478,"Duke University Press, NC & IL",United States
Critique Internationale,1290-7839,CAIRN,France
Critique of Anthropology,0308-275X,Sage Publications Ltd.,United Kingdom
Croatian Economic Survey,1330-4860,"The Institute of Economics, Zagreb",Croatia
Croatian Yearbook of European Law & Policy,1845-5662,"Sveuciliste u Zagrebu, Pravni Fakultet",Croatia
Cross - Cultural Research,1069-3971,"SAGE PUBLICATIONS, INC.",United States
Cross Currents,0011-1953,The University of North Carolina Press,United States
Cuadernos Americanos,0011-2356,Universidad Nacional Autonoma de Mexico,Mexico
Cuadernos de Administración,0120-3592,Editorial Pontificia Universidad Javeriana,Colombia
Cuadernos de Antropología Social,0327-3776,"Universidad de Buenos Aires, Instituto de Ciencias Antropologicas",Argentina
Cuadernos de Economía,0121-4772,"Universidad Nacional de Colombia, Sede Medellin",Colombia
Cuadernos de Gobierno y Administración Pública,2341-3808,"Universidad Complutense de Madrid, Servicio de Publicaciones",Spain
Cuadernos de Información y Comunicación,1135-7991,Universidad Complutense de Madrid,Spain
Cuadernos de Relaciones Laborales,1131-8635,Universidad Complutense de Madrid,Spain
Cuestiones Políticas,0798-1406,"Universidad del Zulia, Facultad de Ciencias Juridicas",Venezuela
Cultural and Social History,1478-0038,Taylor & Francis Ltd.,United Kingdom
Cultural Geographies,1474-4740,Sage Publications Ltd.,United Kingdom
Cultural Management: Science and Education,2512-6962,Logos Verlag Berlin,Germany
Cultural Politics: an International Journal,1743-2197,"Duke University Press, NC & IL",United States
Cultural Studies,0950-2386,Taylor & Francis Ltd.,United Kingdom
Cultural Studies,0950-2386,Taylor & Francis Ltd.,United Kingdom
Cultural Trends,0954-8963,Taylor & Francis Ltd.,United Kingdom
Culture & Psychology,1354-067X,Sage Publications Ltd.,United Kingdom
Culture and Organization,1475-9551,Taylor & Francis Ltd.,United Kingdom
Culture and Religion,1475-5610,Taylor & Francis Ltd.,United Kingdom
"Culture, Health & Sexuality",1369-1058,Taylor & Francis Ltd.,United Kingdom
"Culture, Medicine and Psychiatry",0165-005X,Springer Nature B.V.,Netherlands
"Culture, Theory and Critique",1473-5784,Taylor & Francis Ltd.,United Kingdom
Current Anthropology,0011-3204,"University of Chicago, acting through its Press",United States
Current History,0011-3530,"University of California Press, Journals & Digital Publishing Division",United States
Current Politics and Economics of Europe,1057-2309,"Nova Science Publishers, Inc.",United States
Current Research in Social Psychology,1088-7423,"University of Iowa, Dept of Sociology, Center for the Study of Group Processes",United States
Current Sociology,0011-3921,Sage Publications Ltd.,United Kingdom
"Cyprus Review, The",1015-2881,The Cyprus Review,Cyprus
Czas Kultury,0867-2148,Stowarzyszenie Czasu Kultury,Poland
Czech Journal of International Relations,2788-2985,Institute of International Relations (Prague),Czech Republic
Daedalus,0011-5266,MIT Press,United States
Danubius Universitas. Acta. Administratio,2068-5459,Universitatea Danubius Galati,Romania
Data & Policy,2632-3249,Cambridge University Press,United Kingdom
De Economist,0013-063X,Springer Nature B.V.,Netherlands
Debats,0212-0585,Institució Alfons el Magnànim,Spain
Decision Sciences,0011-7315,American Institute for Decision Sciences,United States
Decisions in Economics and Finance,1593-8883,Springer Nature B.V.,Netherlands
Defence and Peace Economics,1024-2694,Taylor & Francis LLC,United Kingdom
Democracy and Security,1741-9166,Taylor & Francis Ltd.,United Kingdom
Democratization,1351-0347,Taylor & Francis Ltd.,United Kingdom
Democratization,1351-0347,Taylor & Francis Ltd.,United Kingdom
Demografia,0011-8249,"Kozponti Statisztikai Hivatal, Marketing Oszta'ly",Hungary
Demografie,0011-8265,Cesky Statisticky Urad,Czech Republic
Demographic Research,1435-9871,Max Planck Institut für Demografische Forschung,Germany
Demography,0070-3370,"Duke University Press, NC & IL",United States
Demohrafii︠a︡ ta Sot︠s︡ialʹna Ekonomika,2072-9480,"National Academy of Sciences of Ukraine, Ptukha Institute for Demography and Social Studies",Ukraine
Der Islam,0021-1818,Walter de Gruyter GmbH,Germany
Derechos y Libertades,1133-0937,Universidad Carlos III de Madrid,Spain
Desarrollo Económico,0046-001X,Instituto de Desarrollo Economico y Social,Argentina
Desarrollo y Sociedad,0120-3584,"Universidad de Los Andes, UNIANDES Journals (Revistas UNIANDES)",Colombia
"Developing Economies, The",0012-1533,INSTITUTE OF DEVELOPING ECONOMIES - JETRO,
Developing World Bioethics,1471-8731,"Wiley Subscription Services, Inc.",United States
Development,1011-6370,Palgrave Macmillan,United Kingdom
Development and Change,0012-155X,Blackwell Publishing Ltd.,United Kingdom
Development Finance Agenda Magazine,2413-256X,Chartered Institute of Development Finance,
Development in Practice,0961-4524,Taylor & Francis Ltd.,United Kingdom
Development Policy Review,0950-6764,Blackwell Publishing Ltd.,United Kingdom
Development Southern Africa,0376-835X,Taylor & Francis Ltd.,United Kingdom
Developmental Psychology,0012-1649,American Psychological Association,United States
Déviance et Société,0378-7931,Editions Medecine et Hygiene,Switzerland
Dialectical Anthropology,0304-4092,Springer Nature B.V.,Netherlands
"Diaspora, Indigenous and Minority Education",1559-5692,Taylor & Francis Ltd.,United Kingdom
Die Verwaltung,0042-4498,Duncker & Humblot Gmbh,Germany
Differences,1040-7391,"Duke University Press, NC & IL",United States
Digital War,2662-1975,Palgrave Macmillan,United Kingdom
Dilemas,1983-5922,"Universidade Federal do Rio de Janeiro, Instituto de Filosofia e Ciencias Sociais",Brazil
Diplomacy & Statecraft,0959-2296,Taylor & Francis Ltd.,United Kingdom
Diplomatic History,0145-2096,Oxford University Press,United Kingdom
Disability & Society,0968-7599,Taylor & Francis Ltd.,United Kingdom
Disasters,0361-3666,Blackwell Publishing Ltd.,United Kingdom
Discourse,1522-5321,Wayne State University Press,United States
Discourse & Society,0957-9265,Sage Publications Ltd.,United Kingdom
Discourse Studies,1461-4456,Sage Publications Ltd.,United Kingdom
Domes ; Digest of Middle East Studies (Online),1949-3606,"Wiley Subscription Services, Inc.",United States
Drustvena Istrazivanja,1330-0288,Institut Drustvenih Znasnosti Ivo Pilar,Croatia
Dve Domovini = Two Homelands,0353-6777,"Zalozba ZRC, Scientific Research Centre Publishing",Slovenia
Dynamics of Asymmetric Conflict,1746-7586,Taylor & Francis Ltd.,United Kingdom
E+M Ekonomie a Management,1212-3609,Technical University of Liberec,Czech Republic
Early American Studies,1543-4273,University of Pennsylvania Press,United Kingdom
Early Child Development and Care : ECDC,0300-4430,Taylor & Francis Ltd.,United Kingdom
East Asia : An International Quarterly,1096-6838,Springer Nature B.V.,Netherlands
East Asia Forum Quarterly,1837-5081,Australian National University Press,Australia
East European Politics,2159-9165,Taylor & Francis Ltd.,United Kingdom
East European Politics and Societies,0888-3254,Sage Publications Ltd.,United Kingdom
e-BANGI,1985-3505,E-Bangi Journal,Malaysia
Econometric Reviews,0747-4938,Taylor & Francis Ltd.,United Kingdom
Econometric Theory,0266-4666,Cambridge University Press,United Kingdom
Econometrica,0012-9682,Blackwell Publishing Ltd.,United Kingdom
"Econometrics Journal, The",1368-4221,Oxford University Press,United Kingdom
Economía,0254-4415,Pontificia Universidad Católica del Perú,Peru
Economia Internazionale,0012-981X,Istituto di Economia Internazionale,Italy
Economía y Desarrollo,0252-8584,Universidad de la Habana,Cuba
Economic and Business Review,1580-0466,"University of Ljubljana, Faculty of Economics",Slovenia
Economic and Industrial Democracy,0143-831X,Sage Publications Ltd.,United Kingdom
Economic and Political Studies,2095-4816,Taylor & Francis Ltd.,United Kingdom
"Economic and Social Review, The",0012-9984,Economic and Social Research Institute,Ireland
Economic Anthropology,2330-4847,"Wiley Subscription Services, Inc.",United States
Economic Change and Restructuring,1573-9414,Springer Nature B.V.,Netherlands
Economic Development and Cultural Change,0013-0079,"University of Chicago, acting through its Press",United States
Economic Development Quarterly,0891-2424,"SAGE PUBLICATIONS, INC.",United States
Economic Geography,0013-0095,Taylor & Francis Ltd.,United Kingdom
"Economic History Review, The",0013-0117,Blackwell Publishing Ltd.,United Kingdom
Economic Inquiry,0095-2583,Western Economic Association,United States
Economic Issues,1363-7029,Association of Polytechnic Teachers in Economics,United Kingdom
"Economic Journal, The",0013-0133,Oxford University Press,United Kingdom
Economic Notes,0391-5026,Blackwell Publishing Ltd.,United Kingdom
Economic Papers,0812-0439,Copyright Agency Limited (Distributor),Australia
Economic Policy,0266-4658,Oxford University Press,United Kingdom
Economic Policy Review - Federal Reserve Bank of New York,1932-0426,Federal Reserve Bank of New York,United States
Economic Record,0013-0249,Blackwell Publishing Ltd.,United Kingdom
Economic Theory,0938-2259,Springer Nature B.V.,Netherlands
Economic Theory Bulletin,2196-1085,Springer Nature B.V.,Netherlands
Economica,0013-0427,Blackwell Publishing Ltd.,United Kingdom
Economics,1864-6042,Walter de Gruyter GmbH,Germany
Economics & Politics,0954-1985,Blackwell Publishing Ltd.,United Kingdom
Economics and Philosophy,0266-2671,Cambridge University Press,United Kingdom
Economics of Innovation and New Technology,1043-8599,Taylor & Francis Ltd.,United Kingdom
Economics of Transition and Institutional Change,2577-6975,Blackwell Publishing Ltd.,United Kingdom
Économie Politique,1293-6146,Alternatives Economiques,France
Economy and Society,0308-5147,Taylor & Francis LLC,United Kingdom
"Educação, Sociedade & Culturas",0872-7643,"Universidade do Porto, Centro de Investigação e Intervenção Educativas",Portugal
Education and Urban Society,0013-1245,"SAGE PUBLICATIONS, INC.",United States
Education Economics,0964-5292,Taylor & Francis Ltd.,United Kingdom
Educational Philosophy and Theory,0013-1857,Taylor & Francis Ltd.,United Kingdom
Educational Research for Social Change,2221-4070,"Nelson Mandela Metropolitan University, Faculty of Education",South Africa
Educational Review,0013-1911,Taylor & Francis Ltd.,United Kingdom
Educational Studies,0305-5698,Taylor & Francis Ltd.,United Kingdom
Educational Studies,0013-1946,Taylor & Francis Ltd.,United Kingdom
Ekonomi Bilimleri Dergisi,1309-8020,The Social Sciences Research Society,Turkey
Ekonomicko-Manazerske Spektrum,1337-0839,"University of Zilina Faculty of Operation and Economics of Transport and Communications, Department of Economics",Slovakia (Slovak Republic)
Ekonomika,1392-1258,Vilniaus Universiteto Leidykla,Lithuania
Ekonomika,0350-137X,Drustvo Ekonomista Ekonomika,Serbia (Republic Of Serbia)
Ekonomisk Debatt,0345-2646,"Nationalekonomiska Föreningen, Swedish Economic Society",Sweden
Ekonomiska Samfundets Tidskrift,0013-3183,Economic Society of Finland,Finland
Ekonomska Istrazivanja,1331-677X,Taylor & Francis Ltd.,United Kingdom
Ekonomski Pregled,0424-7558,Hrvatsko Drustvo Ekonomista,Croatia
El Futuro del Pasado,1989-9289,Ediciones Universidad de Salamanca,Spain
El Trimestre Económico,0041-3011,Fondo de Cultura Económica,Mexico
Electronic Journal of Contemporary Japanese Studies,1476-9158,"University of Sheffield, School of East Asian Studies",United Kingdom
"Electronic Journal of Information Systems in Developing Countries, The",1681-4835,"City University of Hong Kong, Department of Information Systems",Hong Kong
Electronic Markets,1019-6781,Springer Nature B.V.,Netherlands
Empirica,0340-8744,Springer Nature B.V.,Netherlands
Empirical Economics,0377-7332,Springer Nature B.V.,Netherlands
Encounters on Education,1494-4936,Queens University,Canada
English in Africa,0376-8902,Institute for the Study of English in Africa,South Africa
Enterprise & Society,1467-2227,Cambridge University Press,United Kingdom
Entrepreneurship and Regional Development,0898-5626,Taylor & Francis Ltd.,United Kingdom
Entrepreneurship Theory and Practice,1042-2587,"SAGE PUBLICATIONS, INC.",United States
Entreprise & Société,2553-7830,Classiques Garnier Numérique,France
Environment,0013-9157,Kirkpatrick Jordon Foundation,United States
Environment and Behavior,0013-9165,"SAGE PUBLICATIONS, INC.",United States
Environment and Urbanization Asia,0975-4253,Sage Publications India Private Ltd,India
"Environment, Development and Sustainability",1387-585X,Springer Nature B.V.,Netherlands
Environmental and Resource Economics,0924-6460,Springer Nature B.V.,Netherlands
Environmental Economics and Policy Studies,1432-847X,Springer Nature B.V.,Netherlands
Environmental Hazards,1747-7891,Taylor & Francis Ltd.,United Kingdom
Environmental Humanities,2201-1919,"Duke University Press, NC & IL",United States
Environmental Policy and Governance,1756-932X,Wiley Periodicals Inc.,United States
Environmental Politics,0964-4016,Taylor & Francis Ltd.,United Kingdom
"Equality, Diversity and Inclusion: An International Journal",2040-7149,Emerald Group Publishing Limited,United Kingdom
Erasmus Law Review,2210-2671,"Erasmus Universiteit Rotterdam, Faculteit der Rechtsgeleerdheid",Netherlands
Eskisehir Osmangazi Universitesi Sosyal Bilimler Dergisi,1302-9703,Eskisehir Osmangazi University,Turkey
Espacio Abierto,1315-0006,Universidad del Zulia,Venezuela
Esprit,0014-0759,Esprit,France
ESSACHESS,2066-5083,Institut Universitaire de Technologie,France
Estudios,0328-185X,"Universidad Nacional de Cordoba, Centro de Estudios Avanzados",Argentina
Estudios de Asia y Africa,0185-0164,"Colegio de México, A.C.",Mexico
Estudios de Derecho,0120-1867,Universidad de Antioquía,Colombia
Estudios de Economia,0304-2758,Estudios de Economia,Chile
Estudios Demográficos y Urbanos,0186-7210,"Colegio de México, A.C.",Mexico
Estudios Economicos,0188-6916,"Colegio de México, A.C.",Mexico
Estudios Económicos,0188-6916,"Colegio de México, A.C.",Mexico
Estudios Políticos,0121-5167,Universidad de Antioquía,Colombia
Estudios Políticos,0185-1616,"Universidad Nacional Autónoma de México, Facultad de Ciencias Políticas y Sociales",Mexico
Estudios Sobre Educación,1578-7001,Universidad de Navarra,Spain
Estudios Sobre el Mensaje Periodistico,1134-1629,Universidad Complutense de Madrid,Spain
Estudios Sociologicos,0185-4186,"Colegio de México, A.C.",Mexico
Estudos Feministas,0104-026X,"Universidade Federal de Santa Catarina, CFH/CCE - Revista Estudos Feministas",Brazil
Ethical Theory and Moral Practice,1386-2820,Springer Nature B.V.,Netherlands
Ethics,0014-1704,"University of Chicago, acting through its Press",United States
Ethics & Global Politics,1654-4951,Taylor & Francis Ltd.,United Kingdom
Ethics & International Affairs,0892-6794,Cambridge University Press,United Kingdom
"Ethics, Policy & Environment",2155-0085,Taylor & Francis Ltd.,United Kingdom
"Éthique, Politique, Religions",2265-0156,Classiques Garnier Numérique,France
Ethnic and Racial Studies,0141-9870,"Routledge, Taylor & Francis Group",United Kingdom
Ethnicity and Health,1355-7858,Taylor & Francis Ltd.,United Kingdom
Ethnicity and Health,1355-7858,Taylor & Francis Ltd.,United Kingdom
Ethnohistory,0014-1801,"Duke University Press, NC & IL",United States
Ethnomusicology,0014-1836,University of Illinois Press,United States
Ethnomusicology Forum,1741-1912,Taylor & Francis Ltd.,United Kingdom
Ethnos,0014-1844,Taylor & Francis Ltd.,United Kingdom
Ethos,0091-2131,Blackwell Publishing Ltd.,United Kingdom
Etnografia e Ricerca Qualitativa,1973-3194,Societa Editrice il Mulino,Italy
Etnolingwistyka,0860-8032,Wydawnictwo Uniwersytetu Marii Curie-Sklodowskiej,Poland
Etnoloska Tribina,0351-1944,Hrvatsko Etnolosko Drustvo,Croatia
Études Balkaniques,0324-1645,Institute for Balkan Studies,Bulgaria
Etudes Celtiques,0373-1928,CNRS Editions,France
Études Internationales,0014-2123,L'Institut Québécois des Hautes Etudes Internationales,Canada
Études Inuit,0701-1008,"Université Laval, Etudes Inuit",Canada
"Études Mongoles & Sibériennes, Centrasiatiques & Tibétaines",2101-0013,Centre d'Études Mongoles et Sibériennes,France
Eurasian Economic Review,1309-422X,Springer Nature B.V.,Netherlands
Eurasian Journal of Business and Economics,1694-5948,International Ataturk Alatoo University,Kyrgyzstan
Eurasian Journal of Business and Management,2148-0206,Eurasian Publications,Turkey
Eurasian Journal of Economics and Finance,2148-0192,Eurasian Publications,Turkey
Eurasian Journal of Social Sciences,2148-0214,Eurasian Publications,Turkey
"EURE, Revista Latinoamericana de Estudios Urbano Regionales",0250-7161,"Pontificia Universidad Católica de Chile, Instituto de Historia",Chile
EUREKA: Social and Humanities,2504-5563,Scientific Route OÜ,Estonia
EuroEconomica,1582-8859,Universitatea Danubius Galati,Romania
Europa Ethnica,0014-2492,Facultas Verlags- und Buchhandels AG,Austria
Europarecht,0531-2485,Nomos Verlagsgesellschaft mbH und Co KG,Germany
Europe - Asia Studies,0966-8136,Taylor & Francis Ltd.,United Kingdom
European Accounting Review,0963-8180,Taylor & Francis Ltd.,United Kingdom
European Competition Journal,1744-1056,Taylor & Francis Ltd.,United Kingdom
European Constitutional Law Review,1574-0196,Cambridge University Press,United Kingdom
European Countryside,1803-8417,De Gruyter Poland,Poland
European Criminal Law Review,2191-7442,Nomos Verlagsgesellschaft mbH und Co KG,Germany
European Financial Management,1354-7798,Blackwell Publishing Ltd.,United Kingdom
European History Quarterly,0265-6914,Sage Publications Ltd.,United Kingdom
European Journal of Communication,0267-3231,Sage Publications Ltd.,United Kingdom
"European Journal of Comparative Economics, The",1824-2979,Università Carlo Cattaneo - Biblioteca Mario Rostoni,Italy
European Journal of Criminology,1477-3708,Sage Publications Ltd.,United Kingdom
"European Journal of Development Research, The",0957-8811,Palgrave Macmillan,United Kingdom
"European Journal of Finance, The",1351-847X,Taylor & Francis LLC,United Kingdom
European Journal of Housing Policy,1461-6718,Taylor & Francis Ltd.,United Kingdom
European Journal of Industrial Relations,0959-6801,Sage Publications Ltd.,United Kingdom
European Journal of International Relations,1354-0661,Sage Publications Ltd.,United Kingdom
European Journal of Law and Economics,0929-1261,Springer Nature B.V.,Netherlands
European Journal of Management and Business Economics,2444-8451,Emerald Group Publishing Limited,United Kingdom
European Journal of Philosophy,0966-8373,Blackwell Publishing Ltd.,United Kingdom
European Journal of Political Research,0304-4130,"Wiley Subscription Services, Inc.",United States
European Journal of Population,0168-6577,Springer Nature B.V.,Netherlands
European Journal of Risk Regulation : EJRR,1867-299X,Cambridge University Press,United Kingdom
European Journal of Social Psychology,0046-2772,"Wiley Subscription Services, Inc.",United States
European Journal of Social Security,1388-2627,"SAGE PUBLICATIONS, INC.",United States
European Journal of Social Work,1369-1457,Taylor & Francis Ltd.,United Kingdom
"European Journal of the History of Economic Thought, The",0967-2567,Taylor & Francis LLC,United Kingdom
"European Journal of Women's Studies, The",1350-5068,Sage Publications Ltd.,United Kingdom
European Journal on Criminal Policy and Research,0928-1371,Springer Nature B.V.,Netherlands
European Law Journal,1351-5993,Blackwell Publishing Ltd.,United Kingdom
"European Legacy, Toward New Paradigms, The",1084-8770,Taylor & Francis Ltd.,United Kingdom
European Management Review,1740-4754,Blackwell Publishing Ltd.,United Kingdom
European Planning Studies,0965-4313,Taylor & Francis Ltd.,United Kingdom
European Political Science: EPS,1680-4333,Palgrave Macmillan,United Kingdom
European Politics and Society,2374-5118,Taylor & Francis Ltd.,United Kingdom
European Review,1062-7987,Cambridge University Press,United Kingdom
European Review of Agricultural Economics,0165-1587,Oxford Publishing Limited (England),United Kingdom
European Security,0966-2839,Taylor & Francis Ltd.,United Kingdom
European Societies,1461-6696,Taylor & Francis Ltd.,United Kingdom
European Urban and Regional Studies,0969-7764,Sage Publications Ltd.,United Kingdom
Evaluation,1356-3890,"SAGE PUBLICATIONS, INC.",United States
Evaluation Review,0193-841X,"SAGE PUBLICATIONS, INC.",United States
Evidence & Policy,1744-2648,Policy Press,United Kingdom
Evolutionary Anthropology,1060-1538,"Wiley Subscription Services, Inc.",United States
Evolutionary Behavioral Sciences,2330-2925,American Psychological Association,United States
Experimental Economics,1386-4157,Springer Nature B.V.,Netherlands
Fabula,0014-6242,Walter de Gruyter GmbH,Germany
Families in Society,1044-3894,Sage Publications Ltd.,United Kingdom
Family & Community History,1463-1180,"Maney Publishing, Hudson Road",United Kingdom
Family Relations,0197-6664,National Council on Family Relations,United States
Far Eastern Affairs,0206-149X,East View Publications,United States
Felsefe ve Sosyal Bilimler Dergisi,1306-9535,"Ankara University; Faculty of Letters, Department of Philosophy",Turkey
Feminism & Psychology,0959-3535,Sage Publications Ltd.,United Kingdom
Feminist Anthropology,2643-7961,"Wiley Subscription Services, Inc.",United States
Feminist Economics,1354-5701,Taylor & Francis LLC,United Kingdom
Feminist Legal Studies,0966-3622,Springer Nature B.V.,Netherlands
Feminist Media Studies,1468-0777,Taylor & Francis Ltd.,United Kingdom
Feminist Review,0141-7789,Sage Publications Ltd.,United Kingdom
FIIB Business Review,2319-7145,Sage Publications India Private Ltd,India
Finance and Stochastics,0949-2984,Springer Nature B.V.,Netherlands
Financial Analysts Journal,0015-198X,Taylor & Francis Ltd.,United Kingdom
Financial History Review,0968-5650,Cambridge University Press,United Kingdom
Financial Management,0046-3892,Blackwell Publishing Ltd.,United Kingdom
"Financial Markets, Institutions & Instruments",0963-8008,Blackwell Publishing Ltd.,United Kingdom
Financial Stability Report,2309-7264,Oesterreichische Nationalbank / National Bank of Austria,Austria
Finansi Ukraini,2305-7645,Finansi Ukraini,Ukraine
FinanzArchiv,0015-2218,Mohr Siebeck,Germany
First World War Studies,1947-5020,Taylor & Francis Ltd.,United Kingdom
Fiscal Studies,0143-5671,Blackwell Publishing Ltd.,United Kingdom
Focaal,0920-1297,"Berghahn Books, Inc.",United States
Folia Oeconomica Stetinensia,1730-4237,De Gruyter Poland,Poland
Folk Life,0430-8778,Taylor & Francis Ltd.,United Kingdom
Folklore,0015-587X,Taylor & Francis Ltd.,United Kingdom
Food & Foodways,0740-9710,Taylor & Francis Ltd.,United Kingdom
Food Studies,2160-1933,Common Ground Research Networks,United States
"Food, Culture, & Society",1552-8014,Taylor & Francis Ltd.,United Kingdom
Foreign Affairs,0015-7120,Council on Foreign Relations NY,United Kingdom
Foreign Policy Analysis,1743-8586,Oxford University Press,United Kingdom
Foro Internacional,0185-013X,"Colegio de México, A.C.",Mexico
Forum : Qualitative Social Research,1438-5627,Freie Universität Berlin,Germany
Forum for Development Studies,0803-9410,Taylor & Francis Ltd.,United Kingdom
"Forum, The",2194-6183,Walter de Gruyter GmbH,Germany
Foundations of Management,2080-7279,De Gruyter Poland,Poland
French Politics,1476-3419,Palgrave Macmillan,United Kingdom
"French Politics, Culture & Society",1537-6370,"Berghahn Books, Inc.",United States
Fronteras de la Historia,2027-4688,Instituto Colombiano de Antropología e Historia - ICANH,Colombia
Frontiers of Economics in China,1673-3444,Higher Education Press Limited Company,China
Fulbright Review of Economics and Policy,2635-0173,Emerald Group Publishing Limited,United Kingdom
Future Humanities,2770-2030,"John Wiley & Sons, Inc.",United States
Futuribles,0337-307X,Futuribles,France
Gender,1868-7245,Verlag Barbara Budrich,Germany
Gender & Behaviour,1596-9231,IFE Centre for Psychological Studies,Nigeria
Gender & History,0953-5233,Blackwell Publishing Ltd.,United Kingdom
Gender & Society,0891-2432,"SAGE PUBLICATIONS, INC.",United States
Gender and Development,1355-2074,Taylor & Francis Ltd.,United Kingdom
Gender and Education,0954-0253,Taylor & Francis Ltd.,United Kingdom
"Gender, Place and Culture",0966-369X,Taylor & Francis Ltd.,United Kingdom
"Gender, Technology and Development",0971-8524,Taylor & Francis Ltd.,United Kingdom
"Gender, Work and Organization",0968-6673,Blackwell Publishing Ltd.,United Kingdom
Genesis,1594-9281,Viella Libreria Editrice,Italy
Géocarrefour,1627-4873,Association des Amis de la Revue de Géographie de Lyon,France
Geografia,2180-2491,Universiti Kebangsaan Malaysia,Malaysia
"Geografiska Annaler. Series B, Human Geography",0435-3684,Taylor & Francis Group,United Kingdom
Geographia Polonica,0016-7282,"Polska Akademia Nauk, Instytut Geografii i Przestrzennego Zagospodarowania",Poland
"Geographical Journal, The",0016-7398,Blackwell Publishing Ltd.,United Kingdom
Geographical Research,1745-5863,"Wiley Subscription Services, Inc.",United States
Geographical Review,0016-7428,Taylor & Francis Ltd.,United Kingdom
"Géographie, Economie, Société",1295-926X,Lavoisier,France
Geographische Rundschau,0016-7460,Westermann Schulbuchverlag GmbH,Germany
Geographische Zeitschrift,0016-7479,Franz Steiner Verlag,Germany
GeoJournal,0343-2521,Springer Nature B.V.,Netherlands
Geopolitica(s),2172-3958,"Universidad Complutense de Madrid, Servicio de Publicaciones",Spain
Geopolitics,1465-0045,Taylor & Francis Ltd.,United Kingdom
"George Washington International Law Review, The",1534-9977,"George Washington University, National Law Center",United States
Gerer & Comprendre,0295-4397,La Francaise de Financement et d'Edition (FFE),France
German Economic Review,1465-6485,Walter de Gruyter GmbH,Germany
German Journal of Agricultural Economics,2191-4028,Deutscher Fachverlag GmbH,Germany
German Law Journal,2071-8322,Cambridge University Press,United Kingdom
German Studies Review,0149-7952,Johns Hopkins University Press,United States
"Gesellschaft, Wirtschaft, Politik",1619-6910,Verlag Barbara Budrich,Germany
Gifted Education International,0261-4294,Sage Publications Ltd.,United Kingdom
Global Crime,1744-0572,Taylor & Francis Ltd.,United Kingdom
Global Health Action,1654-9880,Taylor & Francis Ltd.,United Kingdom
Global Health Promotion,1757-9759,International Union for Health Promotion and Education,France
